"Provider","Series","Efficiency index at 55°C","Efficiency index at 35°C","Efficiency class at 35°C","Efficiency class at 55°C","Type","Heat output W10/W35 (kW)","Heat output A2/W35 (kW)","Heat output B0/W35 (kW)","COP W10/W35","COP W10/W55","COP A2/W35","COP A7/W55","COP A-7/W55","COP B0/W35","COP B0/W55","Inverter technology","SCOP","Noise level external (dB)","Noise level inside (dB)","Refrigerant","Height inside (cm)","Width inside (cm)","Depth inside (cm)","Height outside (cm)","Width outside (cm)","Depth outside (cm)","EHPA or CH quality label","Link to manufacturer"
"SOLTOP Energie AG","WPLK 618","150","180","A+++","A+++","air-water","","17.2","","","","3.75","2.96","2.22","","","yes","","50","","R452b","","","","121","175","63","CH-HP-00844","https://www.soltop-energie.ch/waermepumpen/"
"CTA AG","Aeroheat Inverta AH SCI 25a","137","180","A+++","A++","air-water","","12.1","","","","4.1","2.6","1.9","","","yes","","49","","R32","181","76","70","130","255","90","LW-488-20-29","http://www.cta.ch"
"Vaillant GmbH","geoTHERM perform VWS 260/3","133","180","A+++","A++","earth-water","","","24.5","","","","","","4.4","2.8","no","","","60","R410 A","129","60","68","","","","CH-HP-00997","http://www.vaillant.com"
"SOLTOP Energie AG","WPL 618","141","179","A+++","A++","air-water","","17.23","","","","3.68","2.89","2.17","","","yes","","46","46","R410A","130","60","65","133","81","128","CH-HP-00804","https://www.soltop-energie.ch/waermepumpen/"
"Hoval AG","Thermalia comfort H (7)","134","179","A+++","A+++","earth-water","","","6.5","","","","","","4.5","3.1","no","4.7","","45","R134a","149","60","75","","","","CH-HP-00580","http://www.hoval.com"
"Domotec AG","HPSU CU 308/08-P","130","179","A+++","A++","air-water","","7.22","","","","3.34","2.5","1.57","","","yes","","62","","R32","195","62","60","74","96","39","CH-HP-00841","https://domotec.ch/"
"Domotec AG","HPSU CU 508/08-P","130","179","A+++","A++","air-water","","7.22","","","","3.34","2.5","1.57","","","yes","","62","","R32","195","79","79","74","96","39","CH-HP-00841","https://domotec.ch/"
"Domotec AG","HPSU BU 08","130","179","A+++","A++","air-water","","7.22","","","","3.34","2.5","1.57","","","yes","","62","","R32","84","44","39","74","96","39","","https://domotec.ch/"
"Buderus","LA 18S-TU","128","179","A+++","A++","air-water","","12.3","","","","3.8","3.3","2.1","","","no","","54","","R410A","165","91","75","","","","CH-HP-00598","https://www.buderus.com"
"Buderus","WLW196i.2 11kW IR","127","179","A+++","A++","air-water","","13.1","","","","4.1","2.6","1.9","","","yes","","37","50","R410A","181","112","54","","","","CH-HP-00666","https://www.buderus.com"
"Buderus","WLW196i.2-11kW AR","140","179","A+++","A++","air-water","","11.7","","","","3.64","2.63","2","","","yes","","53","41","R410A","","","","170","112","55","CH-HP-00665","https://www.buderus.com"
"Stiebel Eltron AG","WPL 09 ICS classic","130","178","A++","A++","air-water","","2.64","","","","3.83","2.64","2.15","","","yes","","","32","R410A","138","87","87","","","","CH-HP-00807","https://www.stiebel-eltron.ch"
"Vaillant GmbH","aroTHERM VWL 105/5 AS","127","178","A+++","A++","air-water","","8.3","","","","3.9","2.8","2","","","yes","4.6","60","45","R410A","","","","157","110","45","CH-HP-00812","http://www.vaillant.com"
"CTA AG","Optiheat OH 1-85e","128","178","A+++","A++","earth-water","","","85","","","","","","4.6","2.9","no","4.64","","58","R410A","124","118","76","","","","CH-HP-00472","http://www.cta.ch"
"Hoval AG","UltraSource B comfort C (11)","135","176","A+++","A++","air-water","","5.9","","","","4.4","3.1","2.2","","","yes","","50","46","R410A","125","62","77","120","109","75","CH-HP-00795","http://www.hoval.com"
"Hoval AG","UltraSource B compact C (11/200)","135","176","A+++","A++","air-water","","5.9","","","","4.4","3.1","2.2","","","yes","","50","46","R410A","195","60","77","120","109","75","CH-HP-00795","http://www.hoval.com"
"Domotec AG","HPSU CU 304/04-P","127","176","A+++","A++","air-water","","5.46","","","","3.66","2.82","1.32","","","yes","","58","","R32","195","62","60","74","96","39","CH-HP-00841","https://domotec.ch/"
"Domotec AG","HPSU CU 308/06-P","127","176","A+++","A++","air-water","","6.17","","","","3.55","2.8","1.39","","","yes","","60","","R32","195","62","60","74","96","39","CH-HP-00841","https://domotec.ch/"
